date;numsem;day;sum_trafic_compteur;count_trafic_compteur;mean_trafic_compteur;sum_velo_compteur;count_velo_compteur;mean_velo_compteur;sum_ferre_valid;sum_surface_valid;sum_total_valid;sum_trafic_infra;count_trafic_infra;mean_trafic_infra;varmean_trafic;sum_velo_infra;count_velo_infra;mean_velo_infra;max_temperature_c;min_temperature_c;windspeed_max_kmh;temperature_morning_c;temperature_noon_c;temperature_evening_c;precip_total_day_mm;humidity_max_percent;visibility_avg_km;pressure_max_mb;cloudcover_avg_percent;heatindex_max_c;dewpoint_max_c;windtemp_max_c;weather_code_morning;weather_code_noon;weather_code_evening;total_snow_mm;uv_index;sunhour;opinion;sunset;sunrise;temperature_night_c;weekday;IsWeekend;Mois;Nom_mois;glissmean_velo_compteur;trend_glissmean_90;Typejour
01/01/2021;1;1;15725356.5;76084;206.6841452;36307;16032;2.264658184;745808;475237;1221045;21398;764;28.0078534;0.634365582;12389;592;20.92736486;3;2;7;2;3;3;0.5;86;7.75;1014;82.625;3;1;0;116;332;122;0.3;1;3.2;météo très défavorable;17:05:00;08:44:00;2;Friday;False;1;January;3.433403081;36.42696629;Vacances scolaires
02/01/2021;1;2;19475412;79392;245.3069831;60436;16032;3.769710579;1445541;1095458;2540999;29025;796;36.46356784;0.741469802;23344;577;40.45753899;5;-1;7;2;4;4;0.1;76;10;1015;54.75;5;2;1;122;116;116;0;1;8.6;météo très défavorable;17:06:00;08:44:00;3;Saturday;True;1;January;3.358831122;35.80898876;Vacances scolaires
03/01/2021;1;3;18681271.8;79392;235.3042095;51645;16032;3.22136976;1014912;696799;1711711;26990;762;35.41994751;0.709661561;18310;572;32.01048951;4;2;10;3;3;3;0.3;92;10;1016;71.375;4;2;0;122;116;119;0;1;8.6;météo très défavorable;17:07:00;08:44:00;3;Sunday;True;1;January;3.280288062;35.6;Vacances scolaires
04/01/2021;1;4;23814535;79392;299.9613941;98522;16032;6.145334331;2995585;2426119;5421704;38669;886;43.64446953;0.910017963;29935;603;49.64344942;3;2;13;2;2;3;1;95;6.875;1015;100;3;2;-2;332;326;332;0.7;1;3.2;météo très défavorable;17:08:00;08:44:00;2;Monday;False;1;January;3.245314327;35.26666667;Semaine
05/01/2021;1;5;25257593.4;79392;318.1377645;111089;16032;6.929204092;3263475;2638203;5901678;41895;909;46.08910891;0.965871309;33668;594;56.68013468;3;2;14;2;2;3;0.4;94;7.75;1017;98.375;3;1;-2;326;332;371;0.1;1;3.2;météo très défavorable;17:09:00;08:43:00;2;Tuesday;False;1;January;3.272224753;34.93333333;Semaine
06/01/2021;1;6;26897910.6;79392;338.798753;112814;16032;7.036801397;3229849;2601707;5831556;42315;907;46.65380375;1.037220434;34843;615;56.65528455;3;1;11;1;3;2;0.5;95;9.375;1019;96.625;3;1;-2;326;122;368;0.3;1;3.3;météo très défavorable;17:10:00;08:43:00;1;Wednesday;False;1;January;3.352826319;34.6;Semaine
07/01/2021;1;7;27464050.9;79392;345.929702;117862;16032;7.351671657;3319493;2717569;6037062;44209;900;49.12111111;1.053778051;35928;604;59.48344371;3;1;7;1;3;2;1;92;6.75;1018;85;3;1;0;122;338;329;0.9;1;3.3;météo très défavorable;17:11:00;08:43:00;2;Thursday;False;1;January;3.501546667;34.26666667;Semaine
08/01/2021;2;8;27950952.9;79392;352.0625869;119370;16032;7.445733533;3327277;2720306;6047583;44195;929;47.57265877;1.081049582;38554;623;61.88443018;3;-4;5;1;2;1;0;88;10;1020;50.375;4;0;-1;116;326;116;0;1;5.1;météo très défavorable;17:13:00;08:42:00;1;Friday;False;1;January;3.649750497;33.93333333;Semaine
09/01/2021;2;9;23927541.1;79392;301.3847881;106907;16032;6.668350798;2192878;1558907;3751785;33490;735;45.56462585;0.908254277;30903;550;56.18727273;3;1;19;1;2;3;0;90;10;1025;22.75;3;0;-3;116;116;116;0;1;8.7;météo très défavorable;17:14:00;08:42:00;1;Saturday;True;1;January;3.750217708;33.6;Weekend
10/01/2021;2;10;21225011.8;79392;267.3444654;86998;16032;5.426521956;1321069;881154;2202223;30136;771;39.08690013;0.81039707;30999;611;50.73486088;4;0;12;0;2;3;0;88;10;1026;12.5;4;0;-4;116;116;116;0;2;8.7;météo très défavorable;17:15:00;08:41:00;1;Sunday;True;1;January;3.842845959;33.81111111;Weekend
